Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,Classification
1/14/2019,2019,1,14,Monday,2,2019-02,94.48,95.45,94.28,94.95,7085100,92.25,0.001159855,93.00857143,95.7746,GREEN
1/15/2019,2019,1,15,Tuesday,2,2019-02,95.47,96.6,95.38,96.25,7058200,93.51,0.013691449,93.75357143,95.694,GREEN
1/16/2019,2019,1,16,Wednesday,2,2019-02,95.93,96.86,95.83,96.35,5410000,93.61,0.001038945,94.17785714,95.6094,GREEN
1/17/2019,2019,1,17,Thursday,2,2019-02,96.32,97.21,96.16,96.74,5614500,93.99,0.004047736,94.54571429,95.5174,GREEN
1/18/2019,2019,1,18,Friday,2,2019-02,96.95,98.2,96.85,97.73,6120600,94.95,0.010233673,94.94571429,95.4138,GREEN
1/22/2019,2019,1,22,Tuesday,3,2019-03,97.15,98.43,96.78,97.49,8063200,94.72,-0.002455802,95.25571429,95.297,RED
1/23/2019,2019,1,23,Wednesday,3,2019-03,98.87,99.35,97.53,98.71,8345800,95.9,0.012514117,95.63928571,95.1848,RED
1/24/2019,2019,1,24,Thursday,3,2019-03,98.2,98.46,96.43,98.36,7609700,95.56,-0.003545725,96.03214286,95.0544,RED
1/25/2019,2019,1,25,Friday,3,2019-03,98.75,98.91,96.75,96.94,7218200,94.18,-0.014436744,96.28214286,94.882,RED
1/28/2019,2019,1,28,Monday,4,2019-04,96.53,97.07,96.08,97.06,5875800,94.3,0.001237829,96.46214286,94.7458,RED
1/29/2019,2019,1,29,Tuesday,4,2019-04,96.77,97.16,96.51,96.71,5253400,93.96,-0.003606001,96.57,94.6212,RED
1/30/2019,2019,1,30,Wednesday,4,2019-04,96.68,96.8,94.26,94.8,11849300,92.1,-0.019749727,96.56357143,94.4866,RED
1/31/2019,2019,1,31,Thursday,4,2019-04,94.63,96.87,94.63,95.83,14723000,93.1,0.010864966,96.62571429,94.4124,RED
2/1/2019,2019,2,1,Friday,4,2019-04,95.92,96,93.11,93.86,12591900,91.19,-0.020557249,96.55571429,94.3358,RED
2/4/2019,2019,2,4,Monday,5,2019-05,93.86,94.77,93.35,94.77,7268600,92.07,0.009695249,96.54285714,94.2956,GREEN
2/5/2019,2019,2,5,Tuesday,5,2019-05,95.25,95.94,95.02,95.6,6099900,92.88,0.008758065,96.49642857,94.3244,GREEN
2/6/2019,2019,2,6,Wednesday,5,2019-05,95.43,96.01,95.22,95.64,4264900,92.92,0.00041842,96.44571429,94.3538,GREEN
2/7/2019,2019,2,7,Thursday,5,2019-05,95.11,96.82,95,96.73,7010100,93.98,0.011396947,96.445,94.3864,GREEN
2/8/2019,2019,2,8,Friday,5,2019-05,96.34,96.69,95.14,95.58,6169200,92.86,-0.011888778,96.29142857,94.395,GREEN
2/11/2019,2019,2,11,Monday,6,2019-06,95.65,96.35,95.64,96.2,5542800,93.46,0.006486661,96.19928571,94.4182,GREEN
2/12/2019,2019,2,12,Tuesday,6,2019-06,96.82,97.17,96.5,96.97,5881300,94.21,0.008004203,96.075,94.4084,GREEN
2/13/2019,2019,2,13,Wednesday,6,2019-06,97.3,98,97.09,97.94,5458500,95.15,0.010003106,96.045,94.4214,GREEN
2/14/2019,2019,2,14,Thursday,6,2019-06,97.68,99.2,97.02,98.52,7200800,95.72,0.005921934,96.15785714,94.4388,GREEN
2/15/2019,2019,2,15,Friday,6,2019-06,98.98,100,98.86,99.99,9481000,97.15,0.014920841,96.36714286,94.4636,GREEN
2/19/2019,2019,2,19,Tuesday,7,2019-07,102.38,104.18,102.07,102.2,20697300,99.29,0.022102202,96.75928571,94.5914,RED
2/20/2019,2019,2,20,Wednesday,7,2019-07,101.81,102.34,98.65,99.88,17631800,97.04,-0.022700585,97.12214286,94.6936,RED
2/21/2019,2019,2,21,Thursday,7,2019-07,99.66,99.92,98.91,99.39,6413200,96.56,-0.004905866,97.37642857,94.8176,RED
2/22/2019,2019,2,22,Friday,7,2019-07,99.82,100.16,99.14,99.55,8086900,96.72,0.001609857,97.78285714,94.9298,RED
2/25/2019,2019,2,25,Monday,8,2019-08,100.12,100.13,99.05,99.12,9235000,96.3,-0.00431944,98.09357143,95.0352,RED
2/26/2019,2019,2,26,Tuesday,8,2019-08,99.02,99.06,97.87,98.69,8488100,95.88,-0.004338179,98.31428571,95.1468,RED
2/27/2019,2019,2,27,Wednesday,8,2019-08,98.12,98.39,97.59,98.11,7902300,95.32,-0.005877007,98.49071429,95.2498,RED
2/28/2019,2019,2,28,Thursday,8,2019-08,98.11,99.47,97.77,98.99,11375900,96.17,0.008969496,98.65214286,95.3926,RED
3/1/2019,2019,3,1,Friday,8,2019-08,99.47,99.56,97.12,97.93,10352500,95.14,-0.010708128,98.82,95.5358,RED
3/4/2019,2019,3,4,Monday,9,2019-09,98.12,98.59,97.37,97.85,7683800,95.07,-0.000816929,98.93785714,95.6712,RED
3/5/2019,2019,3,5,Tuesday,9,2019-09,98.13,99.19,98.09,98.34,6119300,95.54,0.005007643,99.03571429,95.827,RED
3/6/2019,2019,3,6,Wednesday,9,2019-09,98.27,99,97.86,98.26,4696600,95.47,-0.000813445,99.05857143,96.0466,RED
